category_type,asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
Others,B07KXQX3S3,"SanDisk 128GB microSDXC-Card, Licensed for Nintendo-Switch - SDSQXAO-128G-GNCZN",https://m.media-amazon.com/images/I/61ysEjw8BML._AC_UL320_.jpg,https://www.amazon.com/dp/B07KXQX3S3,4.8,0,14.49,34.99,76,false,0
Others,B07YGL9XTH,"Brother Genuine High-Yield Black Toner Cartridge Twin Pack TN760 2Pk, TN7602PK",https://m.media-amazon.com/images/I/71+Idh2rxYL._AC_UL320_.jpg,https://www.amazon.com/dp/B07YGL9XTH,4.7,0,144.99,0,76,false,4000
Others,B088FSHMQ3,"AINOPE USB C Charger Cable, [2-Pack, 6.6FT] 3.1A USB C Cable Right Angle, Type C Charging Cable Durable Nylon Braided Compatible with iPhone 15 Pro, Galaxy S10 S9 Plus S21, Note 10 9 A51, LG G8 G7",https://m.media-amazon.com/images/I/71slGPTBJ9S._AC_UL320_.jpg,https://www.amazon.com/dp/B088FSHMQ3,4.7,0,7.98,8.98,76,false,0
Others,B09J2Q87F1,[Apple MFi Certified] iPhone Charger 5pack[6/6/6/10/10FT] Long Lightning Cable Fast Charging Cord iPhone Charging Cable Compatible iPhone 14/14 Pro/Max/13/12/11 Pro Max/XS MAX/XR/XS/X/8/7/Plus iPad,https://m.media-amazon.com/images/I/71GIR-zEHuL._AC_UL320_.jpg,https://www.amazon.com/dp/B09J2Q87F1,4.4,0,8.99,11.99,76,false,0
Others,B08D6TPP5Y,"4Pack Original [Apple MFi Certified] Charger Lightning to USB Charging Cable Cord Compatible iPhone 14/13/12/11 Pro/11/XS MAX/XR/8/7/6s Plus,iPad Pro/Air/Mini,iPod Touch",https://m.media-amazon.com/images/I/514you0I4LL._AC_UL320_.jpg,https://www.amazon.com/dp/B08D6TPP5Y,4.5,0,12.59,19.99,76,false,0
Others,B087213LB3,"Warrky USB C to HDMI Cable 4K [Anti-Interference Gold-Plated Plugs] 6FT Aluminum Type-C to HDMI Cord Thunderbolt 3/4 Compatible for iPhone 15 Pro, MacBook, iMac, iPad Pro, Galaxy, Surface, Dell, HP",https://m.media-amazon.com/images/I/81yHc42FqlL._AC_UL320_.jpg,https://www.amazon.com/dp/B087213LB3,4.5,0,13.98,17.99,76,true,0
Others,B000N4AI8M,"Post-it Super Sticky Easel Pad, 25 in x 30 in, White, 30 Sheets/Pad, 4 Pads/Pack, Great for Virtual Teachers and Students (559 VAD 4PK)",https://m.media-amazon.com/images/I/61-Q7ZkSIUS._AC_UL320_.jpg,https://www.amazon.com/dp/B000N4AI8M,4.8,0,66.9,147,76,false,4000
Others,B08M9HND4F,"Highwings 8K 10K HDMI 2.1 Cable 48Gbps 6.6FT/2M, Certified High Speed HDMI Braided Cord-4K@120Hz 8K@60Hz, DTS:X, HDCP 2.2 & 2.3, HDR 10 Compatible with Roku TV/PS5/HDTV/Blu-ray",https://m.media-amazon.com/images/I/81i+RJVMZpL._AC_UL320_.jpg,https://www.amazon.com/dp/B08M9HND4F,4.7,0,9.99,18.99,76,false,0
Others,B00WJDWG3A,"HP 63XL Tri-color High-yield Ink | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | F6U63AN",https://m.media-amazon.com/images/I/71Fn9Ly8JRL._AC_UL320_.jpg,https://www.amazon.com/dp/B00WJDWG3A,4.7,0,48.89,0,76,false,7000
Others,B0CCYB92JK,"Micger Galaxy S23 Ultra Screen Protector, 2 Pack Screen Protector, 2 Pack Tempered Glass Camera Lens Protector, Compatible Fingerprint, 3D Glass 9H Hardness Tempered Glass Screen Protector for Samsung Galaxy S23 Ultra 5g【2+2 Pack】",https://m.media-amazon.com/images/I/61iZ9MAoPRL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CCYB92JK,4.8,0,13.99,0,76,false,0
